ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,00:43:34.8411545,-20.3211,-45.3685,0.0,1,-10.4,0.85
20230218,00:44:04.4833944,-20.8347,-46.0734,0.0,1,10.2,0.181
20230218,00:44:27.7898503,-20.3993,-45.701,13.6,2,-19.3,0.604
20230218,00:45:02.8487071,-20.5168,-45.3601,0.0,1,-19.4,1.614
20230218,00:45:02.8493330,-20.5187,-45.3638,0.0,1,-16.7,1.123
20230218,00:45:18.3858453,-21.3967,-46.3815,0.0,1,8.9,0.161
20230218,00:46:07.3448931,-21.1799,-46.5732,0.0,1,-11.1,0.355
20230218,00:46:07.3461025,-21.1791,-46.5774,0.0,1,-16.6,0.446
20230218,00:47:48.7207271,-20.8905,-46.0641,0.0,1,-13.8,1.213
20230218,00:47:56.0709111,-21.4155,-46.3777,0.0,1,-10.2,0.501
20230218,00:48:06.3418740,-21.2202,-46.5209,0.0,1,-21.1,0.435
20230218,00:48:07.0062604,-20.4906,-45.7419,0.0,1,-15.0,1.041
20230218,00:48:13.6870697,-21.6518,-46.2924,0.0,1,-16.5,0.964
20230218,00:48:44.1754143,-20.2994,-45.9397,0.0,1,-12.2,2.093
20230218,00:48:44.1790386,-20.2817,-45.9271,0.0,1,-12.1,1.728
20230218,00:49:11.6265311,-20.9032,-46.0925,0.0,1,15.6,1.067
20230218,00:49:11.6282236,-20.8882,-46.1016,0.0,1,8.6,0.286
20230218,00:49:14.2944963,-20.3263,-45.97,0.0,1,-21.1,1.273
20230218,00:49:26.2657548,-21.1997,-46.566,6.6,2,11.4,0.138
20230218,00:50:08.8501967,-20.4687,-45.672,0.0,1,-21.8,0.783
20230218,00:50:08.9521404,-20.4721,-45.6743,0.0,1,-15.0,0.552
20230218,00:50:09.0165118,-20.4693,-45.6721,0.0,1,-33.9,0.57
20230218,00:50:09.1005576,-20.4663,-45.6693,0.0,1,-16.6,0.817
20230218,00:50:09.4398565,-20.4673,-45.6699,0.0,1,-12.2,0.784
20230218,00:50:09.4787602,-20.4651,-45.6679,0.0,1,-18.3,0.543
20230218,00:50:19.3521573,-20.7763,-46.0024,0.0,1,15.9,1.945
20230218,00:50:56.0659752,-20.9013,-46.093,12.2,2,15.5,0.065
20230218,00:50:57.3086815,-21.2009,-46.5365,6.3,2,-8.7,0.163
20230218,00:51:22.6437163,-21.2521,-46.4704,0.0,1,-9.5,0.557
20230218,00:51:22.7378590,-21.2197,-46.5238,0.0,1,-10.6,0.502
20230218,00:51:23.0824641,-21.2197,-46.5246,0.0,1,-10.8,0.435
20230218,00:51:29.7292767,-21.6257,-46.2817,0.0,1,-9.8,0.31
20230218,00:51:31.9831421,-20.4379,-45.7344,0.0,1,12.5,0.475
20230218,00:52:14.2538715,-20.8192,-46.1024,0.0,1,-11.0,1.635
20230218,00:52:40.2206841,-20.9024,-46.0918,0.0,1,11.4,1.079
20230218,00:52:40.2217179,-20.8869,-46.1001,0.0,1,11.0,0.284
20230218,00:52:45.4791523,-21.21,-46.4725,0.0,1,-26.8,0.9
20230218,00:53:17.8146315,-20.2752,-45.8378,0.0,1,-43.9,2.429
20230218,00:53:42.9470656,-20.4974,-45.7489,0.0,1,-18.0,0.803
20230218,00:53:42.9798651,-20.4983,-45.7501,0.0,1,-30.1,0.603
20230218,00:53:43.0129158,-20.4957,-45.7486,0.0,1,-27.7,1.183
20230218,00:53:43.0608587,-20.4969,-45.7521,0.0,1,-36.6,1.87
20230218,00:53:50.0982577,-20.7855,-46.0331,0.0,1,31.2,0.597
20230218,00:53:50.1683807,-21.1994,-46.5012,0.0,1,-10.5,0.157
20230218,00:53:50.1700754,-21.1991,-46.4986,6.4,2,15.3,0.086
20230218,00:54:30.3725898,-21.2573,-46.4998,11.0,2,-11.4,0.898
20230218,00:57:07.6845575,-20.281,-45.9673,0.0,1,-37.8,2.033
20230218,00:58:41.8031097,-21.2119,-46.4977,6.2,2,-19.2,0.251
20230218,00:59:32.1404684,-20.5102,-45.7991,0.0,1,-15.3,1.339
20230218,00:59:44.4127027,-20.3472,-45.8663,0.0,1,-39.8,0.765
20230218,00:59:44.4255637,-20.3447,-45.8609,0.0,1,-27.0,1.386
20230218,00:59:44.4534115,-20.3457,-45.8631,0.0,1,-37.1,0.536
20230218,01:00:42.3290492,-20.8737,-46.0688,0.0,1,10.0,1.774
20230218,01:01:14.4252222,-20.6569,-45.948,0.0,1,-17.1,1.372
20230218,01:01:14.4257625,-20.645,-45.9436,4.7,2,42.1,0.05
20230218,01:01:14.4295511,-20.6519,-45.9372,12.3,2,13.2,0.458
20230218,01:02:09.3227913,-20.4481,-45.7779,0.0,1,-73.0,0.712
20230218,01:02:32.4726860,-20.8057,-46.0457,8.0,2,9.9,0.044
20230218,01:02:32.4753168,-20.7979,-46.0511,0.0,1,14.1,0.497
20230218,01:02:33.7438142,-21.2023,-46.5141,6.6,2,9.9,0.244
20230218,01:02:53.4714345,-21.2572,-46.4426,0.0,1,32.3,0.663
20230218,01:03:12.8085808,-20.9001,-45.9654,0.0,1,19.7,1.107
20230218,01:03:12.8118385,-20.892,-45.9448,0.0,1,-89.7,0.646
20230218,01:03:12.8373121,-20.8937,-45.9478,0.0,1,-16.1,0.719
20230218,01:03:12.8644614,-20.8919,-45.9431,0.0,1,-22.7,0.571
20230218,01:03:48.0689672,-21.211,-46.5041,0.0,1,-10.9,0.447
20230218,01:03:48.8184914,-21.1809,-46.5328,0.0,1,-17.5,0.376
20230218,01:04:15.4133606,-20.895,-45.975,0.0,1,9.7,0.317
